time,company_id,device_id,motor_temp,motor_speed_act,motor_speed_actual,bearing_temp,rear_bearing_temp,bearing_accel_value,bearing_freq_value,bearing_accel_peak,bearing_accel_value2,bearing_freq_value2,bearing_temp_value,motor_bearing_front_temp,motor_bearing_front_freq,motor_bearing_front_accel,motor_bearing_front_accel_peak,motor_bearing_rear_temp,motor_bearing_rear_freq,motor_bearing_rear_accel,motor_bearing_rear_accel_peak,operation_status,current_ratio,quick_ratio,equity_multiplier,company_size,debt_to_asset_ratio,roa,roe,asset_turnover,cash_flow_ratio,revenue_growth_rate
02OCT23:00:00:00,1,4,65.93,1192.28,1128.2,83.24,88.18,0.65,38.78,0.45,0.91,71.3,92.66,76.63,47.8,0.61,0.31,83.48,34.97,0.62,0.5,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:00:00:00,1,4,79.08,885.39,1399.09,92.07,93.31,0.84,31.78,0.29,0.64,50.63,81.28,84.18,59.67,0.78,0.37,91.77,64.44,0.68,0.51,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:12:00:00,1,4,71.46,1233.92,1077.61,80.56,93.55,0.75,56.13,0.34,0.86,33.33,83.18,82.44,32.73,0.81,0.46,89.73,34.27,0.85,0.5,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:12:00:00,1,1,85.37,1223.69,1127.96,89,91.41,0.68,36.84,0.36,0.81,45.02,88.1,89.01,48.21,0.72,0.47,90.19,55.84,0.74,0.59,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:12:00:00,1,1,65.54,1102.88,1170.89,85.77,96.35,0.78,58.37,0.44,0.71,40.25,84.22,79.99,50.64,0.72,0.43,90.54,55.23,0.73,0.43,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:00:00:00,1,6,74.81,1217.38,895.77,77.37,94.85,0.76,64.24,0.38,0.92,61.19,82.94,85.41,53.19,0.76,0.34,88.77,35.44,0.86,0.58,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:12:00:00,1,3,80.09,1314.08,1333.35,86.82,93.57,0.92,40.63,0.32,0.95,60.55,90.95,76.44,49.87,0.53,0.52,90.29,43.07,0.74,0.55,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:00:00:00,1,3,68.43,1276.23,1226.55,79.2,94.98,0.77,66.27,0.41,0.64,56.65,87.13,90.77,56.37,0.48,0.43,90.02,57.83,0.52,0.48,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:00:00:00,1,5,91.62,1233.37,999.48,80.39,82.88,0.92,49.3,0.41,0.78,63.42,91.75,76.3,58.46,0.56,0.32,91.93,48.07,0.69,0.49,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:00:00:00,1,6,81.64,1285.52,1268.09,74.56,85.73,0.52,43.02,0.36,0.83,89.47,85.52,83.89,58,0.64,0.27,88.07,64.08,0.68,0.56,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:00:00:00,1,6,74.88,1134.07,1223.49,89.19,92.34,0.89,52.72,0.45,0.88,20.81,95.62,87.38,45.96,0.53,0.33,94.25,39,0.74,0.45,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:12:00:00,1,4,64.26,1299.93,1162.66,80.36,91.67,0.9,43.64,0.37,0.72,51.87,88.33,86.29,39.19,0.69,0.43,95.74,80.49,0.67,0.55,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:12:00:00,1,1,72.1,1127.17,1072.77,82,95.26,0.67,45.04,0.31,0.63,54.66,79.23,88.38,53.61,0.69,0.41,90.98,54.93,0.72,0.5,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:00:00:00,1,6,65.36,1203.87,1233.09,89.54,82.37,0.86,58.48,0.46,0.82,43.73,86.52,76.72,46.97,0.61,0.47,91.03,47.65,0.74,0.46,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:12:00:00,1,3,67.53,1257.07,958.03,84.17,91.01,0.68,51.21,0.46,0.72,63.44,84.9,84.27,40.26,0.63,0.44,83.37,55.47,0.68,0.52,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:00:00:00,1,5,77.76,1322.06,1276.31,81.76,89.18,0.72,52.57,0.48,0.86,59.94,81.32,87.96,37.12,0.48,0.5,91.48,73.93,0.85,0.49,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:12:00:00,1,2,73.52,1241.73,1378.81,83.98,77.94,0.77,52.3,0.37,0.72,44.77,85.08,93.51,55.59,0.62,0.42,82.5,63.93,0.72,0.5,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:00:00:00,1,3,69.08,1196.79,1131.43,79.16,87.19,0.74,51.77,0.46,0.8,61.76,85.64,100.06,46.05,0.57,0.36,94.6,46.34,0.66,0.49,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:00:00:00,1,5,80.76,1211.22,1071.67,82.48,98.37,0.81,42.09,0.38,0.87,69.74,92.18,82.72,57.3,0.67,0.37,82.72,54.6,0.46,0.51,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:12:00:00,1,1,61.92,1117.4,1061.35,79.54,82.32,0.77,49.95,0.48,0.9,61.17,74.96,74.92,52.55,0.71,0.54,93.64,60.19,0.62,0.6,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:12:00:00,1,2,82.05,1250.59,1248.08,88.48,87.65,0.81,31.33,0.25,0.89,48.42,84.29,91.07,61.79,0.72,0.35,92.94,63.87,0.53,0.51,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:00:00:00,1,2,68.61,1035.97,1108.45,86.36,86.63,0.8,47.62,0.38,0.75,30.61,92.9,85.04,44.69,0.34,0.4,94.38,45.29,0.66,0.43,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:12:00:00,1,1,73.04,1192.19,1089.89,90.43,87.28,0.82,60.47,0.48,0.78,78.74,80.04,91.55,46.67,0.59,0.45,89.52,52,0.59,0.46,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:12:00:00,1,6,68.26,1328.5,1325.19,84.18,87.21,0.97,51.31,0.45,0.9,55.47,90.05,85.52,55.26,0.71,0.36,85.19,48.15,0.79,0.5,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:12:00:00,1,5,86.06,1114.46,979.39,90.32,92.91,0.73,39.93,0.37,0.73,70.11,93.59,82.99,63.23,0.74,0.39,91.03,73.21,0.79,0.52,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:00:00:00,1,1,64.91,1351.62,1002,79,96.24,0.8,59.47,0.51,0.76,67.51,80.84,81.71,52.87,0.73,0.36,81.02,67.61,0.58,0.53,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:00:00:00,1,3,67.48,1187.1,1169.74,82.57,89.53,0.82,45.67,0.4,0.76,55.2,87.81,89.18,55.71,0.94,0.45,85.74,62.36,0.63,0.48,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:00:00:00,1,5,70.79,1163.85,946.96,85.84,86.6,0.79,44.32,0.36,0.73,46.11,84.11,90.53,52.97,0.54,0.31,95.18,61.35,0.75,0.49,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:12:00:00,1,4,54.83,1109.63,1196.18,87.21,100.85,0.75,52.9,0.34,0.76,59.55,85.54,89.61,56.54,0.64,0.33,89.22,46.5,0.76,0.51,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:00:00:00,1,5,57.13,1178.97,1065.04,73.47,86.96,0.8,45.28,0.38,0.71,61.33,77.97,87.8,43.43,0.65,0.34,89.35,60,0.83,0.55,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:00:00:00,1,4,85,1261.55,1302.96,89.26,86.45,0.87,44.85,0.35,0.67,50.23,83.94,79.67,35.42,0.51,0.44,92.81,60.86,0.62,0.45,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:00:00:00,1,2,69.02,1230.21,1343.36,84.03,98.73,0.69,58.34,0.47,0.88,64.98,86.76,86.71,55.84,0.59,0.42,85.42,65.12,0.83,0.53,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:12:00:00,1,1,61.24,1139.08,1063.61,78.62,85.71,0.84,43.92,0.41,0.64,29.93,82.77,80.59,31.23,0.71,0.43,91,51.75,0.57,0.64,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:00:00:00,1,3,67.18,1026.99,1311.89,81.2,90.36,0.8,54.16,0.36,0.82,53.69,77.89,82.54,40.81,0.59,0.44,91.88,47.85,0.73,0.49,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:00:00:00,1,1,78.86,1416.21,1225.97,91.81,95.64,0.86,52.72,0.43,0.82,38.71,83.25,87.34,49.87,0.67,0.37,86.06,30.81,0.6,0.56,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:12:00:00,1,2,71.62,1353.35,1292.09,85.18,98.53,0.81,58.93,0.49,0.69,54.73,86.21,84.47,38.19,0.59,0.41,92.27,42.36,0.66,0.5,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:12:00:00,1,4,68.58,1233.83,1050.03,81.78,92.77,0.86,43.57,0.45,0.94,41.09,82.08,89.96,38.75,0.93,0.43,90.86,51.81,0.66,0.52,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:12:00:00,1,5,73.05,1171.46,1162.85,87.28,85.89,0.99,56.93,0.38,1.08,69.45,91.75,86.78,52.73,0.59,0.38,95.7,68.5,0.61,0.44,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:12:00:00,1,5,64.12,1066.42,1142.57,91.5,91.74,0.68,59.95,0.43,0.88,47.15,86.16,87.42,48.29,0.78,0.43,95.61,72.22,0.84,0.46,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:12:00:00,1,5,67.53,1124.18,1174.8,87.24,91.87,0.78,54.68,0.3,0.65,49.82,92.15,85.89,47.23,0.81,0.34,96.56,68.81,0.64,0.49,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:00:00:00,1,1,68.35,1215.17,1180.21,86.43,96.45,0.89,52.08,0.35,0.66,54.16,83.81,86.23,52.56,0.6,0.42,88.55,68.22,0.66,0.48,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:00:00:00,1,4,63.75,1216.68,1191.33,90.16,93.24,0.83,31.06,0.47,0.87,47.21,89.9,84.62,48.91,0.64,0.51,86.94,46.31,0.59,0.52,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:12:00:00,1,3,60.27,1144.35,1136.21,87.08,88.76,0.9,60.1,0.38,0.77,61.25,85.97,78.38,60.4,0.72,0.41,95.97,54.03,0.63,0.48,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:12:00:00,1,5,82.18,1188.25,1248.19,84.06,84.51,0.72,49.62,0.39,0.71,59.66,84.69,94.22,48.94,0.54,0.5,89.53,46.75,0.8,0.56,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:12:00:00,1,4,62.67,1384.5,1223.42,83.31,97.42,0.85,48.5,0.38,1.12,50.91,84.06,79.84,46.21,0.77,0.41,95.34,56.54,0.68,0.51,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:00:00:00,1,4,59.32,1242.71,1125.52,85.18,88.37,0.79,55.06,0.38,0.74,76.24,81.08,95.31,37.24,0.48,0.45,90.7,57.6,0.68,0.44,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:12:00:00,1,6,62.44,1212.54,1119.73,82.38,81.73,0.73,48.51,0.34,0.84,44.59,84.38,84.46,62.2,0.47,0.4,91.33,61.96,0.69,0.57,Normal,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:00:00:00,1,6,84.39,980.12,838.65,79.35,99.04,0.75,48.3,0.4,0.81,71.72,87.86,75.05,65.7,0.59,0.37,86.42,55.54,0.64,0.44,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
06OCT23:12:00:00,1,5,68.88,1118.78,1329.04,80.45,90.87,0.72,55.57,0.49,0.72,30.62,83.59,83.41,59.06,0.57,0.34,88.44,49.32,0.71,0.45,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:00:00:00,1,3,68.16,1140.24,1030.12,83.51,97.98,0.94,62.19,0.47,0.83,48.91,88.6,83.28,52.42,0.5,0.39,100.42,45.27,0.76,0.46,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
05OCT23:12:00:00,1,2,63.26,1126.07,1151.13,82.69,95.48,0.76,54.78,0.44,0.74,61.17,90.83,82.68,47.97,0.53,0.41,84.1,66.37,0.72,0.51,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:12:00:00,1,1,80.37,1314.2,1254.07,89.97,86.8,0.81,42.84,0.42,0.9,39.9,71.28,81.15,73.08,0.64,0.36,90.37,71.32,0.6,0.47,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:12:00:00,1,6,73.43,1070.34,1225.59,77.67,85.96,0.96,45.39,0.31,0.7,56.12,89.72,91.77,51.41,0.56,0.41,89.44,49,0.53,0.56,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:00:00:00,1,1,75.96,1100.54,976.11,85.27,88.15,0.78,47.69,0.47,0.8,51.72,88.79,82.25,55.67,0.58,0.45,88.81,59.8,0.84,0.49,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:12:00:00,1,2,75.64,1191.99,1171.56,83.45,89.98,0.81,53.89,0.52,0.7,61.55,75.9,73.51,44.62,0.52,0.46,90.52,63.98,0.5,0.49,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
02OCT23:12:00:00,1,3,54.57,1317.37,1268.95,86.85,90.21,0.77,59.69,0.37,0.94,48.27,88.52,88.2,70.92,0.7,0.44,80.58,70.42,0.78,0.58,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:00:00:00,1,2,76.18,1073.62,1319.53,82.26,90.62,0.9,26.05,0.37,1.09,39.49,85.62,81.64,68.25,0.61,0.39,76.45,60.51,0.5,0.44,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:00:00:00,1,5,68,1186.67,1280.83,79.97,94.73,0.77,58.15,0.39,0.68,69.27,89.37,82.69,46.55,0.56,0.48,83.96,35.82,0.89,0.51,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:12:00:00,1,6,66.8,1083.59,1102.78,86.98,96.31,0.81,37.46,0.41,0.8,60.44,85.99,89.04,55.94,0.57,0.36,96.01,31.51,0.72,0.5,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:00:00:00,1,4,74.22,1328.04,1338.26,88.28,85.36,0.88,57.84,0.45,0.92,60.52,93.95,79.19,40.34,0.66,0.33,79.42,53.15,0.64,0.55,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:12:00:00,1,2,78.09,1220.93,929.49,81.09,90.74,0.83,55.92,0.4,0.72,58.59,80.35,84.62,52.72,0.58,0.37,95.2,51.77,0.6,0.5,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
03OCT23:12:00:00,1,6,64.54,1165.79,1143.17,97.03,89.91,0.63,52.28,0.39,0.8,59.53,84.14,81.7,40.44,0.66,0.42,93.6,40.42,0.76,0.49,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:12:00:00,1,4,63.62,1194.56,1264.84,90.45,81.99,0.73,56.28,0.39,0.66,46.32,87.49,80.27,32.48,0.69,0.42,86.03,50.88,0.63,0.61,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:12:00:00,1,6,79.69,1084.74,1062.51,80.01,94.58,0.71,27.29,0.47,0.63,41.89,88.05,79.34,37.63,0.55,0.43,95.86,54.55,0.55,0.48,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
04OCT23:00:00:00,1,6,76.51,1100.03,988.36,79.36,79.83,0.78,45.02,0.49,0.79,55.59,90.45,88.49,57.69,0.44,0.44,86.26,64.21,0.69,0.54,Warnin,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
01OCT23:00:00:00,1,2,60.85,1256.34,1236.16,86.08,84.63,0.93,50.73,0.39,0.84,49,85.37,92.1,43.14,0.7,0.4,88.86,74.57,0.67,0.47,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
07OCT23:00:00:00,1,2,88.76,1350.74,1134.65,89.15,89.19,0.65,41.16,0.29,0.9,64.84,79.22,91.48,40.91,0.68,0.47,94.4,42.67,0.73,0.48,Fault,1.57,1.2,2.79,542.71,0.41,0.03,0.13,0.82,0.8,0.07
09OCT23:00:00:00,1,6,47.48,956.66,1223.79,82.33,90.81,0.73,48.99,0.36,0.77,59.98,84.49,82.63,41.58,0.55,0.38,101.47,55.09,0.6,0.57,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
10OCT23:12:00:00,1,2,67.46,1102.75,1143.96,88.44,94.19,0.77,53.16,0.34,0.79,25.47,80.46,82.57,39.88,0.62,0.49,84.72,53.4,0.76,0.42,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
13OCT23:12:00:00,1,1,47.72,1178.44,899.58,77.61,100.9,0.74,32.62,0.42,0.88,74.99,91.91,77.57,49.92,0.76,0.27,92.16,46.95,0.66,0.51,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
11OCT23:00:00:00,1,2,65.63,1247.42,1405.73,82.26,95.14,0.77,60.18,0.4,0.82,72.1,97.4,94.86,59.73,0.65,0.29,89.83,21.92,0.75,0.48,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
12OCT23:12:00:00,1,6,78.8,1086.5,1168.39,84.56,89.82,0.79,51.17,0.43,0.9,30.93,89,87.19,53.73,0.6,0.47,90.14,51.09,0.72,0.56,Warnin,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
11OCT23:12:00:00,1,2,53.51,1104.58,1260.64,85.43,91.1,0.9,25.93,0.32,0.74,49.8,86.67,86.9,63.85,0.76,0.38,94.78,48.6,0.73,0.59,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
08OCT23:00:00:00,1,5,69.14,1318.54,1028.05,86.26,97.99,0.69,63.16,0.35,0.72,55.15,75.94,85.34,56.09,0.65,0.37,90.17,53.32,0.75,0.53,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
13OCT23:12:00:00,1,3,67.49,1109.34,1248.71,79.73,91.81,0.75,54.39,0.32,0.8,53.89,80.86,87.39,56.98,0.45,0.4,88.94,68.92,0.65,0.45,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
11OCT23:00:00:00,1,4,71.3,1233.69,994.76,81.24,89.66,0.91,55.96,0.4,0.93,48.23,97.7,88.44,52.21,0.63,0.47,94.2,77.41,0.63,0.5,Warnin,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
09OCT23:12:00:00,1,6,71.92,1227.44,1149.49,93.95,88.66,0.9,40.8,0.45,0.7,63.18,83.18,84.17,65.64,0.55,0.35,85.39,61.76,0.54,0.47,Warnin,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
13OCT23:12:00:00,1,5,62.4,1292.32,1273.04,80.14,84.69,0.94,43.73,0.36,0.56,55.9,79.64,85.49,49.1,0.41,0.18,93.45,70.34,0.69,0.52,Normal,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
12OCT23:12:00:00,1,2,73.04,1235.03,1315.08,90.14,87.15,0.81,58.45,0.48,0.86,54.24,84.55,92.98,68.36,0.62,0.32,86.69,52.91,0.62,0.47,Warnin,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
11OCT23:00:00:00,1,1,60.32,1172.72,1362.28,81.11,94.66,0.96,40.64,0.4,0.92,34.79,78.6,74.27,52.64,0.79,0.41,89.9,40.29,0.75,0.45,Fault,1.72,1.12,2.52,500.29,0.42,0.04,0.1,0.79,0.76,0.04
